127.0.0.1 - - [14/Jun/2019:16:45:35 +0900] "GET / HTTP/1.1" 200 11926
0:0:0:0:0:0:0:1 - - [14/Jun/2019:16:45:37 +0900] "GET / HTTP/1.1" 200 11926
0:0:0:0:0:0:0:1 - - [14/Jun/2019:16:45:37 +0900] "GET /js/script.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [14/Jun/2019:16:45:37 +0900] "GET /resources/css/style.css HTTP/1.1" 200 14024
0:0:0:0:0:0:0:1 - - [14/Jun/2019:16:45:37 +0900] "GET /resources/images/php.jpg HTTP/1.1" 200 25633
0:0:0:0:0:0:0:1 - - [14/Jun/2019:16:45:37 +0900] "GET /resources/images/c.jpg HTTP/1.1" 200 12714
0:0:0:0:0:0:0:1 - - [14/Jun/2019:16:45:37 +0900] "GET /resources/images/logo.jpg HTTP/1.1" 200 22819
0:0:0:0:0:0:0:1 - - [14/Jun/2019:16:45:37 +0900] "GET /resources/images/fire.jpg HTTP/1.1" 200 19542
0:0:0:0:0:0:0:1 - - [14/Jun/2019:16:45:37 +0900] "GET /resources/css/responsive.css HTTP/1.1" 200 4742
0:0:0:0:0:0:0:1 - - [14/Jun/2019:16:45:37 +0900] "GET /resources/images/ganho1.jpg HTTP/1.1" 200 26228
0:0:0:0:0:0:0:1 - - [14/Jun/2019:16:45:37 +0900] "GET /resources/images/jsp.jpg HTTP/1.1" 200 56470
0:0:0:0:0:0:0:1 - - [14/Jun/2019:16:45:37 +0900] "GET /resources/images/java.jpg HTTP/1.1" 200 50068
0:0:0:0:0:0:0:1 - - [14/Jun/2019:16:45:37 +0900] "GET /resources/images/and.jpg HTTP/1.1" 200 53694
